Rank,Marks,max marks,no of candidates,normalized marks,rank ratio,log rank ratio
4701,136,372,147678,0.3655913978,0.0318327713,-1.497125551
4801,136,372,147678,0.3655913978,0.03250992023,-1.487984096
4901,135,372,147678,0.3629032258,0.03318706916,-1.4790311
5001,134,372,147678,0.3602150538,0.0338642181,-1.470258948
5101,134,372,147678,0.3602150538,0.03454136703,-1.461660479
5201,133,372,147678,0.3575268817,0.03521851596,-1.453228948
5301,133,372,147678,0.3575268817,0.03589566489,-1.444957998
5401,132,372,147678,0.3548387097,0.03657281382,-1.436841625
5501,131,372,147678,0.3521505376,0.03724996276,-1.428874157
5601,131,372,147678,0.3521505376,0.03792711169,-1.421050229
5701,130,372,147678,0.3494623656,0.03860426062,-1.413364761
5801,130,372,147678,0.3494623656,0.03928140955,-1.405812937
5901,129,372,147678,0.3467741935,0.03995855849,-1.398390187
6001,129,372,147678,0.3467741935,0.04063570742,-1.391092175
6101,128,372,147678,0.3440860215,0.04131285635,-1.383914777
6201,128,372,147678,0.3440860215,0.04199000528,-1.376854071
6301,127,372,147678,0.3413978495,0.04266715421,-1.369906322
6401,127,372,147678,0.3413978495,0.04334430315,-1.363067975
6501,126,372,147678,0.3387096774,0.04402145208,-1.356335636
6601,126,372,147678,0.3387096774,0.04469860101,-1.349706069
6801,125,372,147678,0.3360215054,0.04605289887,-1.336743027
6901,124,372,147678,0.3333333333,0.04673004781,-1.330403775
7001,124,372,147678,0.3333333333,0.04740719674,-1.324155724
7101,123,372,147678,0.3306451613,0.04808434567,-1.317996289
7201,123,372,147678,0.3306451613,0.0487614946,-1.311922991
7301,122,372,147678,0.3279569892,0.04943864354,-1.305933454
7501,121,372,147678,0.3252688172,0.0507929414,-1.294196637
7601,121,372,147678,0.3252688172,0.05147009033,-1.28844507
7701,120,372,147678,0.3225806452,0.05214723926,-1.282768679
7801,120,372,147678,0.3225806452,0.0528243882,-1.277165524
7901,120,372,147678,0.3225806452,0.05350153713,-1.27163374
8001,119,372,147678,0.3198924731,0.05417868606,-1.266171532
8101,119,372,147678,0.3198924731,0.05485583499,-1.26077717
8201,118,372,147678,0.3172043011,0.05553298392,-1.25544899
8301,118,372,147678,0.3172043011,0.05621013286,-1.250185388
8401,117,372,147678,0.314516129,0.05688728179,-1.244984817
8501,117,372,147678,0.314516129,0.05756443072,-1.239845786
8601,117,372,147678,0.314516129,0.05824157965,-1.234766854
8701,116,372,147678,0.311827957,0.05891872859,-1.229746633
8801,116,372,147678,0.311827957,0.05959587752,-1.224783781
8901,115,372,147678,0.3091397849,0.06027302645,-1.219877001
9001,115,372,147678,0.3091397849,0.06095017538,-1.21502504
9301,114,372,147678,0.3064516129,0.06298162218,-1.200786158
9401,114,372,147678,0.3064516129,0.06365877111,-1.196141749
9501,113,372,147678,0.3037634409,0.06433592004,-1.191546484
9601,113,372,147678,0.3037634409,0.06501306897,-1.186999332
9701,113,372,147678,0.3037634409,0.06569021791,-1.182499297
9801,112,372,147678,0.3010752688,0.06636736684,-1.178045413
10001,111,372,147678,0.2983870968,0.0677216647,-1.169272375
10101,111,372,147678,0.2983870968,0.06839881364,-1.164951431
10201,111,372,147678,0.2983870968,0.06907596257,-1.160673055
10301,110,372,147678,0.2956989247,0.0697531115,-1.156436415
10501,110,372,147678,0.2956989247,0.07110740936,-1.148085144
10601,109,372,147678,0.2930107527,0.0717845583,-1.143968968
10701,109,372,147678,0.2930107527,0.07246170723,-1.139891438
10801,109,372,147678,0.2930107527,0.07313885616,-1.135851836
10901,108,372,147678,0.2903225806,0.07381600509,-1.131849462
